"","parking","rooms","balcony","terrace","price","elevator","surface","heating","swimming_pool","air_conditioner","tipo_vivienda"
"128",FALSE,4,FALSE,FALSE,250000,TRUE,140,FALSE,FALSE,FALSE,"Piso"
"129",FALSE,3,FALSE,FALSE,120000,FALSE,69,FALSE,FALSE,FALSE,"Piso"
"130",FALSE,3,FALSE,FALSE,260000,TRUE,70,FALSE,FALSE,FALSE,"Piso"
"131",FALSE,3,FALSE,FALSE,274619,FALSE,129,FALSE,FALSE,FALSE,"Piso"
"133",FALSE,3,FALSE,FALSE,82800,FALSE,67,FALSE,FALSE,FALSE,"Piso"
"134",FALSE,4,FALSE,TRUE,280000,FALSE,153,TRUE,FALSE,FALSE,"Casa"
"135",FALSE,4,FALSE,FALSE,372900,TRUE,109,FALSE,FALSE,FALSE,"Piso"
"136",FALSE,4,FALSE,FALSE,285000,TRUE,75,FALSE,FALSE,FALSE,"Piso"
"137",TRUE,2,FALSE,FALSE,182000,TRUE,71,FALSE,FALSE,FALSE,"Piso"
"138",TRUE,3,FALSE,FALSE,218000,TRUE,96,FALSE,FALSE,FALSE,"Piso"
"140",FALSE,4,FALSE,FALSE,556000,TRUE,115,FALSE,FALSE,FALSE,"Piso"
"141",FALSE,4,FALSE,FALSE,461000,TRUE,115,FALSE,FALSE,FALSE,"Piso"
"142",FALSE,3,FALSE,FALSE,4e+05,TRUE,95,FALSE,FALSE,FALSE,"Piso"
"143",FALSE,3,FALSE,FALSE,348000,TRUE,86,FALSE,FALSE,FALSE,"Piso"
"144",FALSE,3,FALSE,FALSE,293000,TRUE,85,FALSE,FALSE,FALSE,"Piso"
"145",FALSE,3,FALSE,FALSE,397000,TRUE,97,FALSE,FALSE,FALSE,"Piso"
"146",FALSE,4,FALSE,FALSE,574000,TRUE,120,FALSE,FALSE,FALSE,"Piso"
"147",FALSE,3,FALSE,FALSE,357000,TRUE,85,FALSE,FALSE,FALSE,"Piso"
"148",FALSE,2,FALSE,FALSE,262000,TRUE,69,FALSE,FALSE,FALSE,"Piso"
"149",FALSE,3,FALSE,FALSE,328000,TRUE,86,FALSE,FALSE,FALSE,"Piso"
"150",FALSE,2,FALSE,FALSE,268000,TRUE,68,FALSE,FALSE,FALSE,"Piso"
"151",FALSE,3,FALSE,FALSE,295800,FALSE,102,FALSE,FALSE,FALSE,"Piso"
"152",FALSE,2,FALSE,FALSE,204000,FALSE,71,FALSE,FALSE,FALSE,"Piso"
"153",FALSE,2,FALSE,FALSE,189400,FALSE,70,FALSE,FALSE,FALSE,"Piso"
"154",FALSE,2,FALSE,FALSE,187000,FALSE,81,FALSE,FALSE,FALSE,"Piso"
"155",FALSE,4,FALSE,TRUE,375000,FALSE,173,FALSE,FALSE,FALSE,"Casa"
"156",FALSE,3,FALSE,FALSE,219500,TRUE,88,FALSE,FALSE,FALSE,"Piso"
"157",FALSE,2,FALSE,TRUE,145000,FALSE,61,FALSE,FALSE,FALSE,"Piso"
"158",FALSE,2,FALSE,FALSE,167900,TRUE,61,FALSE,FALSE,FALSE,"Piso"
"159",FALSE,2,FALSE,FALSE,157990,TRUE,43,FALSE,FALSE,FALSE,"Piso"
"160",TRUE,3,FALSE,FALSE,326000,TRUE,79,FALSE,FALSE,FALSE,"Piso"
